,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,PTS_FHALF,PTS_SHALF,REG_PTS
0,2018-10-16T00:00:00,1,0021800001,1610612755,PHI,Philadelphia,0-1,21,21,24,21,0,0,0,0,0,0,0,0,0,0,87,0.391,0.609,0.192,18,47,16,42,45,87
1,2018-10-16T00:00:00,1,0021800001,1610612738,BOS,Boston,1-0,21,26,30,28,0,0,0,0,0,0,0,0,0,0,105,0.433,0.7140000000000001,0.297,21,55,14,47,58,105
2,2018-10-16T00:00:00,2,0021800002,1610612760,OKC,Oklahoma City,0-1,23,24,32,21,0,0,0,0,0,0,0,0,0,0,100,0.363,0.649,0.27,21,45,14,47,53,100
3,2018-10-16T00:00:00,2,0021800002,1610612744,GSW,Golden State,1-0,31,26,26,25,0,0,0,0,0,0,0,0,0,0,108,0.442,0.9440000000000001,0.26899999999999996,28,58,21,57,51,108
4,2018-10-17T00:00:00,1,0021800003,1610612749,MIL,Milwaukee,1-0,36,31,26,20,0,0,0,0,0,0,0,0,0,0,113,0.494,0.75,0.41200000000000003,26,57,21,67,46,113
5,2018-10-17T00:00:00,1,0021800003,1610612766,CHA,Charlotte,0-1,23,31,29,29,0,0,0,0,0,0,0,0,0,0,112,0.446,0.636,0.42100000000000004,21,41,11,54,58,112
6,2018-10-17T00:00:00,2,0021800004,1610612751,BKN,Brooklyn,0-1,29,22,25,24,0,0,0,0,0,0,0,0,0,0,100,0.488,0.682,0.185,28,39,17,51,49,100
7,2018-10-17T00:00:00,2,0021800004,1610612765,DET,Detroit,1-0,24,27,32,20,0,0,0,0,0,0,0,0,0,0,103,0.424,0.8640000000000001,0.25,21,46,14,51,52,103
8,2018-10-17T00:00:00,3,0021800005,1610612763,MEM,Memphis,0-1,16,23,19,25,0,0,0,0,0,0,0,0,0,0,83,0.298,0.821,0.345,16,28,7,39,44,83
9,2018-10-17T00:00:00,3,0021800005,1610612754,IND,Indiana,1-0,27,29,20,35,0,0,0,0,0,0,0,0,0,0,111,0.5660000000000001,0.5379999999999999,0.385,29,57,20,56,55,111
10,2018-10-17T00:00:00,4,0021800006,1610612748,MIA,Miami,0-1,31,20,27,23,0,0,0,0,0,0,0,0,0,0,101,0.392,0.727,0.273,16,52,16,51,50,101
11,2018-10-17T00:00:00,4,0021800006,1610612753,ORL,Orlando,1-0,25,29,25,25,0,0,0,0,0,0,0,0,0,0,104,0.415,0.613,0.28,20,51,12,54,50,104
12,2018-10-17T00:00:00,5,0021800007,1610612737,ATL,Atlanta,0-1,24,25,35,23,0,0,0,0,0,0,0,0,0,0,107,0.456,0.833,0.278,19,45,24,49,58,107
13,2018-10-17T00:00:00,5,0021800007,1610612752,NYK,New York,1-0,23,49,34,20,0,0,0,0,0,0,0,0,0,0,126,0.455,0.774,0.364,21,46,15,72,54,126
14,2018-10-17T00:00:00,6,0021800008,1610612739,CLE,Cleveland,0-1,25,22,28,29,0,0,0,0,0,0,0,0,0,0,104,0.4,0.7440000000000001,0.368,17,49,16,47,57,104
15,2018-10-17T00:00:00,6,0021800008,1610612761,TOR,Toronto,1-0,28,32,30,26,0,0,0,0,0,0,0,0,0,0,116,0.489,0.6,0.424,21,43,9,60,56,116
16,2018-10-17T00:00:00,7,0021800009,1610612740,NOP,New Orleans,1-0,35,36,30,30,0,0,0,0,0,0,0,0,0,0,131,0.531,0.773,0.4,36,54,12,71,60,131
17,2018-10-17T00:00:00,7,0021800009,1610612745,HOU,Houston,0-1,29,25,30,28,0,0,0,0,0,0,0,0,0,0,112,0.424,0.75,0.33299999999999996,21,37,11,54,58,112
18,2018-10-17T00:00:00,8,0021800010,1610612750,MIN,Minnesota,0-1,23,29,31,25,0,0,0,0,0,0,0,0,0,0,108,0.429,0.889,0.316,20,46,11,52,56,108
19,2018-10-17T00:00:00,8,0021800010,1610612759,SAS,San Antonio,1-0,31,25,25,31,0,0,0,0,0,0,0,0,0,0,112,0.43,0.7240000000000001,0.44,22,52,12,56,56,112
20,2018-10-17T00:00:00,9,0021800011,1610612762,UTA,Utah,1-0,30,38,25,30,0,0,0,0,0,0,0,0,0,0,123,0.519,0.737,0.48100000000000004,21,44,17,68,55,123
21,2018-10-17T00:00:00,9,0021800011,1610612758,SAC,Sacramento,0-1,34,21,32,30,0,0,0,0,0,0,0,0,0,0,117,0.516,0.667,0.368,17,37,9,55,62,117
22,2018-10-17T00:00:00,10,0021800012,1610612743,DEN,Denver,1-0,29,30,15,33,0,0,0,0,0,0,0,0,0,0,107,0.379,0.7859999999999999,0.33299999999999996,20,56,10,59,48,107
23,2018-10-17T00:00:00,10,0021800012,1610612746,LAC,LA,0-1,24,30,18,26,0,0,0,0,0,0,0,0,0,0,98,0.39799999999999996,0.833,0.28600000000000003,21,47,12,54,44,98
24,2018-10-17T00:00:00,11,0021800013,1610612742,DAL,Dallas,0-1,24,22,27,27,0,0,0,0,0,0,0,0,0,0,100,0.4320000000000001,0.7,0.303,28,38,9,46,54,100
25,2018-10-17T00:00:00,11,0021800013,1610612756,PHX,Phoenix,1-0,37,19,27,38,0,0,0,0,0,0,0,0,0,0,121,0.5429999999999999,0.875,0.5589999999999999,35,44,11,56,65,121
26,2018-10-18T00:00:00,1,0021800014,1610612741,CHI,Chicago,0-1,41,17,18,32,0,0,0,0,0,0,0,0,0,0,108,0.436,0.75,0.33299999999999996,28,39,12,58,50,108
27,2018-10-18T00:00:00,1,0021800014,1610612755,PHI,Philadelphia,1-1,38,27,37,25,0,0,0,0,0,0,0,0,0,0,127,0.473,0.9,0.33299999999999996,30,55,13,65,62,127
28,2018-10-18T00:00:00,2,0021800015,1610612748,MIA,Miami,1-1,24,34,27,28,0,0,0,0,0,0,0,0,0,0,113,0.392,0.735,0.34299999999999997,25,55,16,58,55,113
29,2018-10-18T00:00:00,2,0021800015,1610612764,WAS,Washington,0-1,25,34,30,23,0,0,0,0,0,0,0,0,0,0,112,0.469,0.7440000000000001,0.26899999999999996,19,40,14,59,53,112
30,2018-10-18T00:00:00,3,0021800016,1610612747,LAL,Los Angeles,0-1,31,32,28,28,0,0,0,0,0,0,0,0,0,0,119,0.484,0.759,0.233,23,46,15,63,56,119
31,2018-10-18T00:00:00,3,0021800016,1610612757,POR,Portland,1-0,34,31,28,35,0,0,0,0,0,0,0,0,0,0,128,0.44,0.9309999999999999,0.35100000000000003,21,54,16,65,63,128
32,2018-10-19T00:00:00,1,0021800017,1610612766,CHA,Charlotte,1-1,22,29,31,38,0,0,0,0,0,0,0,0,0,0,120,0.467,0.85,0.447,32,55,15,51,69,120
33,2018-10-19T00:00:00,1,0021800017,1610612753,ORL,Orlando,1-1,10,21,23,34,0,0,0,0,0,0,0,0,0,0,88,0.38299999999999995,0.7140000000000001,0.19399999999999998,18,44,15,31,57,88
34,2018-10-19T00:00:00,2,0021800018,1610612752,NYK,New York,1-1,24,26,26,29,0,0,0,0,0,0,0,0,0,0,105,0.402,0.9,0.321,14,36,3,50,55,105
35,2018-10-19T00:00:00,2,0021800018,1610612751,BKN,Brooklyn,1-1,33,24,17,33,0,0,0,0,0,0,0,0,0,0,107,0.493,0.875,0.4,22,55,22,57,50,107
36,2018-10-19T00:00:00,3,0021800019,1610612738,BOS,Boston,1-1,25,28,26,22,0,0,0,0,0,0,0,0,0,0,101,0.40399999999999997,0.7,0.389,29,49,14,53,48,101
37,2018-10-19T00:00:00,3,0021800019,1610612761,TOR,Toronto,2-0,18,31,33,31,0,0,0,0,0,0,0,0,0,0,113,0.467,0.737,0.371,24,49,12,49,64,113
38,2018-10-19T00:00:00,4,0021800020,1610612737,ATL,Atlanta,0-2,33,28,21,35,0,0,0,0,0,0,0,0,0,0,117,0.494,0.583,0.467,27,40,19,61,56,117
39,2018-10-19T00:00:00,4,0021800020,1610612763,MEM,Memphis,1-1,37,40,29,25,0,0,0,0,0,0,0,0,0,0,131,0.5429999999999999,0.698,0.5,32,41,16,77,54,131
40,2018-10-19T00:00:00,5,0021800021,1610612739,CLE,Cleveland,0-2,30,24,41,28,0,0,0,0,0,0,0,0,0,0,123,0.484,0.862,0.348,26,43,14,54,69,123
41,2018-10-19T00:00:00,5,0021800021,1610612750,MIN,Minnesota,1-1,32,39,33,27,0,0,0,0,0,0,0,0,0,0,131,0.506,0.943,0.4,28,40,13,71,60,131
