,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0021800001,1610612755,76ers,PHI,Philadelphia,240:00,0.42,0.264,0.149,0.105,0.49,0.144,0.141,0.25
1,0021800001,1610612738,Celtics,BOS,Boston,240:00,0.49,0.144,0.141,0.214,0.42,0.264,0.149,0.175
0,0021800002,1610612760,Thunder,OKC,Oklahoma City,240:00,0.418,0.407,0.141,0.242,0.479,0.189,0.196,0.415
1,0021800002,1610612744,Warriors,GSW,Golden State,240:00,0.479,0.189,0.196,0.321,0.418,0.407,0.141,0.348
0,0021800003,1610612749,Bucks,MIL,Milwaukee,240:00,0.576,0.235,0.202,0.239,0.533,0.239,0.106,0.193
1,0021800003,1610612766,Hornets,CHA,Charlotte,240:00,0.533,0.239,0.106,0.158,0.576,0.235,0.202,0.304
0,0021800004,1610612765,Pistons,DET,Detroit,240:00,0.457,0.239,0.162,0.255,0.518,0.268,0.18,0.261
1,0021800004,1610612751,Nets,BKN,Brooklyn,240:00,0.518,0.268,0.18,0.109,0.457,0.239,0.162,0.345
0,0021800005,1610612763,Grizzlies,MEM,Memphis,240:00,0.357,0.333,0.101,0.113,0.627,0.157,0.209,0.436
1,0021800005,1610612754,Pacers,IND,Indiana,240:00,0.627,0.157,0.209,0.333,0.357,0.333,0.101,0.242
0,0021800006,1610612753,Magic,ORL,Orlando,240:00,0.452,0.33,0.114,0.237,0.438,0.227,0.155,0.355
1,0021800006,1610612748,Heat,MIA,Miami,240:00,0.438,0.227,0.155,0.226,0.452,0.33,0.114,0.322
0,0021800007,1610612752,Knicks,NYK,New York,240:00,0.515,0.313,0.135,0.172,0.511,0.2,0.209,0.235
1,0021800007,1610612737,Hawks,ATL,Atlanta,240:00,0.511,0.2,0.209,0.137,0.515,0.313,0.135,0.31
0,0021800008,1610612761,Raptors,TOR,Toronto,240:00,0.565,0.217,0.097,0.154,0.441,0.459,0.154,0.362
1,0021800008,1610612739,Cavaliers,CLE,Cleveland,240:00,0.441,0.459,0.154,0.241,0.565,0.217,0.097,0.212
0,0021800009,1610612740,Pelicans,NOP,New Orleans,240:00,0.582,0.224,0.114,0.286,0.511,0.261,0.113,0.222
1,0021800009,1610612745,Rockets,HOU,Houston,240:00,0.511,0.261,0.113,0.148,0.582,0.224,0.114,0.347
0,0021800010,1610612759,Spurs,SAS,San Antonio,240:00,0.489,0.312,0.122,0.339,0.462,0.297,0.11,0.34
1,0021800010,1610612750,Timberwolves,MIN,Minnesota,240:00,0.462,0.297,0.11,0.264,0.489,0.312,0.122,0.429
0,0021800011,1610612762,Jazz,UTA,Utah,240:00,0.601,0.481,0.158,0.114,0.553,0.189,0.084,0.143
1,0021800011,1610612758,Kings,SAC,Sacramento,240:00,0.553,0.189,0.084,0.102,0.601,0.481,0.158,0.205
0,0021800012,1610612746,Clippers,LAC,LA,240:00,0.443,0.273,0.135,0.164,0.425,0.483,0.107,0.298
1,0021800012,1610612743,Nuggets,DEN,Denver,240:00,0.425,0.483,0.107,0.246,0.443,0.273,0.135,0.2
0,0021800013,1610612756,Suns,PHX,Phoenix,240:00,0.66,0.198,0.128,0.162,0.489,0.227,0.094,0.245
1,0021800013,1610612742,Mavericks,DAL,Dallas,240:00,0.489,0.227,0.094,0.189,0.66,0.198,0.128,0.162
0,0021800014,1610612755,76ers,PHI,Philadelphia,240:00,0.538,0.323,0.12,0.216,0.49,0.119,0.106,0.183
1,0021800014,1610612741,Bulls,CHI,Chicago,240:00,0.49,0.119,0.106,0.083,0.538,0.323,0.12,0.275
0,0021800015,1610612764,Wizards,WAS,Washington,240:00,0.512,0.481,0.133,0.152,0.454,0.351,0.174,0.429
1,0021800015,1610612748,Heat,MIA,Miami,240:00,0.454,0.351,0.174,0.349,0.512,0.481,0.133,0.196
0,0021800016,1610612757,Trail Blazers,POR,Portland,240:00,0.505,0.29,0.147,0.241,0.522,0.312,0.133,0.176
1,0021800016,1610612747,Lakers,LAL,Los Angeles,240:00,0.522,0.312,0.133,0.157,0.505,0.29,0.147,0.31
0,0021800017,1610612753,Magic,ORL,Orlando,240:00,0.415,0.149,0.17,0.197,0.56,0.217,0.153,0.3
1,0021800017,1610612766,Hornets,CHA,Charlotte,240:00,0.56,0.217,0.153,0.24,0.415,0.149,0.17,0.23
0,0021800018,1610612752,Knicks,NYK,New York,240:00,0.448,0.206,0.031,0.207,0.573,0.32,0.23,0.342
1,0021800018,1610612751,Nets,BKN,Brooklyn,240:00,0.573,0.32,0.23,0.316,0.448,0.206,0.031,0.241
0,0021800019,1610612761,Raptors,TOR,Toronto,240:00,0.538,0.207,0.128,0.231,0.475,0.101,0.155,0.333
1,0021800019,1610612738,Celtics,BOS,Boston,240:00,0.475,0.101,0.155,0.267,0.538,0.207,0.128,0.288
0,0021800020,1610612763,Grizzlies,MEM,Memphis,240:00,0.623,0.531,0.155,0.163,0.578,0.434,0.178,0.25
1,0021800020,1610612737,Hawks,ATL,Atlanta,240:00,0.578,0.434,0.178,0.229,0.623,0.531,0.155,0.279
0,0021800021,1610612750,Timberwolves,MIN,Minnesota,240:00,0.563,0.402,0.13,0.2,0.527,0.312,0.131,0.314
1,0021800021,1610612739,Cavaliers,CLE,Cleveland,240:00,0.527,0.312,0.131,0.255,0.563,0.402,0.13,0.289
0,0021800022,1610612758,Kings,SAC,Sacramento,240:00,0.573,0.271,0.117,0.18,0.674,0.347,0.141,0.304
1,0021800022,1610612740,Pelicans,NOP,New Orleans,240:00,0.674,0.347,0.141,0.261,0.573,0.271,0.117,0.18
0,0021800023,1610612749,Bucks,MIL,Milwaukee,240:00,0.565,0.226,0.157,0.212,0.471,0.31,0.159,0.25
1,0021800023,1610612754,Pacers,IND,Indiana,240:00,0.471,0.31,0.159,0.173,0.565,0.226,0.157,0.327
0,0021800024,1610612762,Jazz,UTA,Utah,240:00,0.556,0.326,0.156,0.192,0.621,0.207,0.155,0.231
1,0021800024,1610612744,Warriors,GSW,Golden State,240:00,0.621,0.207,0.155,0.205,0.556,0.326,0.156,0.308
0,0021800025,1610612760,Thunder,OKC,Oklahoma City,240:00,0.395,0.242,0.126,0.242,0.5,0.444,0.147,0.26
1,0021800025,1610612746,Clippers,LAC,LA,240:00,0.5,0.444,0.147,0.2,0.395,0.242,0.126,0.323
0,0021800026,1610612754,Pacers,IND,Indiana,240:00,0.641,0.239,0.107,0.227,0.57,0.256,0.187,0.333
1,0021800026,1610612751,Nets,BKN,Brooklyn,240:00,0.57,0.256,0.187,0.188,0.641,0.239,0.107,0.295
